scenario,years,seed,paths,final_p10,final_median,final_p90,drawdown_median,drawdown_p90,probability_above_contributions
regular,5,104729,500,23240.1413414,31729.76509327,45704.49687907,0.12526101,0.20000026,0.708
regular,5,130363,500,24280.88603767,32758.59483719,42989.68153885,0.12397075,0.19268425,0.728
regular,5,155921,500,24357.02675472,32110.8600321,43778.22274055,0.1200386,0.1920836,0.736
regular,5,181081,500,23047.03393946,31878.81922536,42296.53699095,0.12810349,0.19959244,0.69
regular,5,206369,500,24558.53609839,32249.99795169,44654.01552482,0.12314358,0.19881433,0.77
regular,10,104729,500,38798.28171841,59072.28815299,95455.51679277,0.18862571,0.28830658,0.778
regular,10,130363,500,40400.99208648,60312.65620141,88566.1647089,0.18563224,0.26701921,0.812
regular,10,155921,500,38748.73724637,58663.00846435,88985.23186243,0.18580726,0.27322192,0.762
regular,10,181081,500,38848.24036097,56794.08711687,88046.79367373,0.19026489,0.2806428,0.788
regular,10,206369,500,39302.77082956,60509.48774244,90946.17305508,0.18890087,0.28140455,0.788
regular,20,104729,500,78995.58155346,132669.99731185,249377.90393995,0.27373453,0.38740772,0.884
regular,20,130363,500,75307.30470498,135340.56509495,247663.21061576,0.26701084,0.39364458,0.866
regular,20,155921,500,75907.62832321,134853.65558769,240909.04555126,0.26968582,0.37694553,0.86
regular,20,181081,500,75588.86041376,128806.89301503,243153.82021753,0.2714752,0.37678682,0.872
regular,20,206369,500,75112.63167348,141192.53065319,248955.09321583,0.27129749,0.37949953,0.862
regular,30,104729,500,127511.16493934,252781.45952565,517953.68828789,0.32878167,0.45357354,0.94
regular,30,130363,500,115663.95619557,245601.56491282,555038.97147262,0.33422062,0.46083912,0.888
regular,30,155921,500,121999.91757487,237371.42919787,539326.55128827,0.32732687,0.46449082,0.914
regular,30,181081,500,111799.04720036,237766.87334214,506937.88728532,0.33193236,0.45895953,0.88
regular,30,206369,500,127353.79369609,250038.57167796,504715.00545418,0.33913449,0.46087289,0.914
interruption,5,104729,500,20250.10763578,27799.98241618,40535.32087584,0.14400146,0.24113194,0.702
interruption,5,130363,500,21022.18205244,28820.81922618,37984.14397645,0.14390328,0.22962959,0.722
interruption,5,155921,500,21149.74892584,28127.73010447,38687.71924143,0.14174702,0.23243873,0.74
interruption,5,181081,500,19729.76070587,27891.20946319,37524.25529117,0.14817065,0.2471111,0.688
interruption,5,206369,500,21051.49894303,28165.56746184,39745.8368459,0.14525539,0.23828849,0.766
interruption,10,104729,500,36067.63337484,54025.82533608,87546.04596843,0.19642047,0.28799326,0.78
interruption,10,130363,500,37466.59548616,55681.29283516,80774.20885197,0.19122578,0.27535785,0.816
interruption,10,155921,500,35869.27099853,54273.71086491,81443.75188003,0.19461563,0.28221073,0.762
interruption,10,181081,500,36153.24062259,52279.90728723,80447.32219105,0.19896657,0.28988073,0.792
interruption,10,206369,500,36342.37139163,55605.46557186,83140.52637798,0.19549448,0.28915263,0.794
interruption,20,104729,500,75277.20260132,124538.68861566,230533.27796508,0.27407403,0.38299631,0.884
interruption,20,130363,500,72191.91498378,128363.10884626,235104.83739231,0.26568519,0.38668259,0.864
interruption,20,155921,500,72299.94313958,126336.46538102,225713.02207497,0.27137996,0.37239211,0.858
interruption,20,181081,500,72148.85300118,122091.56783874,229923.4161773,0.27091184,0.3731561,0.87
interruption,20,206369,500,71360.68151503,132858.22176154,233122.28045302,0.27215259,0.37121267,0.864
interruption,30,104729,500,122793.41619558,241702.86116993,488347.85057588,0.32660996,0.44493718,0.938
interruption,30,130363,500,111431.919063,232649.93182835,524364.4135844,0.3302109,0.45566988,0.89
interruption,30,155921,500,118161.34150442,226440.19097876,511336.39100133,0.32445914,0.46007602,0.912
interruption,30,181081,500,108091.90700235,228556.40470581,476818.23699793,0.32803701,0.45160257,0.88
interruption,30,206369,500,122486.98222268,240179.55599233,480553.45064035,0.33685186,0.45418317,0.912
