seed,scenario,years,paths,finalP05,finalP10,finalP25,finalMedian,finalP75,finalP90,finalP95,drawdownMedian,drawdownP90,probabilityAboveContributions,recoveryMedianMonths,recoveryRate
104729,immediate,5,4000,18962.30482013,20652.58694100,23950.60169287,28110.55970030,33494.98185244,39354.23277428,43272.36827253,0.14436944,0.23526546,0.72650000,1.00000000,0.99225000
104729,progressive-6,5,4000,18331.98364967,19975.06821891,23221.75052118,27291.43308255,32615.94205199,38397.44296823,42293.84489159,0.15000355,0.24659313,0.72800000,1.00000000,0.98925000
104729,progressive-12,5,4000,17542.59762772,19177.07510541,22331.68465835,26336.83723331,31553.24833654,37262.69324098,41020.21620281,0.15524130,0.25793165,0.72625000,1.00000000,0.97825000
104729,delayed-12,5,4000,15826.15614308,17399.03874318,20362.48587389,24248.32864942,29303.30369059,34842.12339753,38534.10537252,0.17069851,0.28787810,0.72400000,1.00000000,0.94325000
104729,no-restart,5,4000,12349.32637196,13901.93693428,16764.25638706,20552.54396336,25512.92357456,31000.96480236,34630.97406955,0.19338537,0.32722465,0.72525000,1.00000000,0.86675000
130363,immediate,5,4000,18782.10200944,20586.45331787,23810.33148406,28190.43783772,33711.26929787,39715.16878848,43646.15830324,0.14655848,0.23574502,0.71975000,1.00000000,0.98950000
130363,progressive-6,5,4000,18146.24255443,19900.99448650,23085.72782811,27325.02560462,32805.14439729,38752.67390467,42584.73000919,0.15022236,0.24587508,0.71825000,1.00000000,0.98350000
130363,progressive-12,5,4000,17357.45893982,19095.86460115,22207.58689542,26380.93605487,31721.94781720,37586.30425118,41300.13872755,0.15560518,0.25662454,0.71875000,1.00000000,0.97725000
130363,delayed-12,5,4000,15664.81900520,17290.05051414,20237.37592010,24358.28293614,29406.47306587,35081.19008355,38822.01068764,0.17104886,0.29060627,0.71675000,1.00000000,0.94250000
130363,no-restart,5,4000,12192.36804632,13745.36094048,16639.01775564,20677.54204772,25627.01620528,31175.71504140,34909.03126050,0.19492358,0.33020327,0.71900000,1.00000000,0.86025000
155921,immediate,5,4000,18757.26084052,20448.72901962,23734.65738011,27965.34586767,33476.07668094,39210.78151980,43033.37843711,0.14521413,0.23538573,0.71750000,1.00000000,0.99050000
155921,progressive-6,5,4000,18123.13195674,19786.13858788,23011.03997618,27163.58180446,32601.83315931,38279.16549514,42066.88361606,0.15044239,0.24748309,0.71600000,1.00000000,0.98450000
155921,progressive-12,5,4000,17339.47270973,18989.21752826,22128.23572098,26213.02877629,31534.01966244,37171.59625858,40903.35382756,0.15553457,0.25832320,0.71800000,1.00000000,0.97775000
155921,delayed-12,5,4000,15609.03524350,17194.09586745,20116.45277972,24187.40605635,29274.00777178,34775.02828781,38526.66021884,0.17096118,0.29205372,0.71875000,1.00000000,0.93725000
155921,no-restart,5,4000,12077.48866561,13640.32334624,16506.94142126,20517.71399690,25513.05841227,30932.11894733,34615.29744290,0.19428808,0.33133588,0.71975000,1.00000000,0.85725000
181081,immediate,5,4000,18814.27224326,20569.74408953,23822.05984262,28139.12340736,33693.66857818,39766.39326056,43794.62427457,0.14520024,0.23566366,0.71750000,1.00000000,0.99050000
181081,progressive-6,5,4000,18182.37259872,19884.58256534,23091.79111510,27325.57195748,32783.81309077,38821.10843512,42839.27311303,0.15018962,0.24725548,0.71825000,1.00000000,0.98450000
181081,progressive-12,5,4000,17397.22118629,19095.76948970,22197.04446713,26347.28227544,31715.87963308,37663.37608590,41684.48628998,0.15525409,0.25785716,0.71900000,1.00000000,0.97825000
181081,delayed-12,5,4000,15686.85224531,17290.01734876,20181.47476354,24247.82809475,29400.63912629,35154.02929407,39103.61370626,0.16984196,0.29183075,0.71775000,1.00000000,0.93950000
181081,no-restart,5,4000,12177.13363313,13731.10985867,16572.72566031,20552.54396336,25603.88259487,31246.17696488,35123.32918070,0.19318897,0.33016936,0.71900000,1.00000000,0.85725000
206369,immediate,5,4000,18900.84884177,20676.39774748,23945.48326778,28257.18507324,33776.37289769,39810.67178303,43715.49330066,0.14520295,0.23574328,0.72500000,1.00000000,0.99050000
206369,progressive-6,5,4000,18267.03788562,20012.43307035,23203.04168577,27425.87759812,32865.85534324,38850.55274437,42805.86147411,0.15022677,0.24749164,0.72425000,1.00000000,0.98450000
206369,progressive-12,5,4000,17480.62037143,19211.47940342,22308.35201686,26464.04102805,31794.94336549,37663.53055048,41623.69722357,0.15524560,0.25845768,0.72450000,1.00000000,0.97850000
206369,delayed-12,5,4000,15764.04177877,17380.53104715,20291.15831614,24344.31747930,29480.37289622,35130.22737726,39015.75523541,0.17040773,0.29177311,0.72300000,1.00000000,0.93950000
206369,no-restart,5,4000,12270.58893302,13836.97676017,16681.30708347,20610.31959650,25695.09452825,31266.17765606,35047.82639577,0.19345539,0.33016222,0.72550000,1.00000000,0.85725000
104729,immediate,10,4000,25417.59938670,36603.85971747,45595.02499858,54590.88765670,65835.23907428,82720.04592915,95155.56803483,0.19455140,0.28168555,0.78300000,1.00000000,1.00000000
104729,progressive-6,10,4000,24985.91218290,36006.01931042,44845.74289011,53603.09835448,64660.03752720,81170.80287096,93349.58748593,0.19628644,0.28611131,0.78375000,1.00000000,1.00000000
104729,progressive-12,10,4000,24451.96368884,35211.98384947,43819.98110779,52455.11110294,63227.21568871,79418.06764561,91438.48989837,0.19847640,0.29091049,0.78500000,1.00000000,1.00000000
104729,delayed-12,10,4000,23416.90931965,33578.99167967,41680.53752792,49906.23986914,60137.79216271,75520.58363651,87203.27984058,0.20905654,0.31165195,0.78625000,1.00000000,1.00000000
104729,no-restart,10,4000,8735.35482684,13912.36419543,18654.58763258,25064.18968955,33427.51676768,44767.70499392,53896.96725544,0.28983566,0.45686587,0.79350000,1.00000000,0.94550000
130363,immediate,10,4000,25433.42678349,36483.34426126,45563.14828148,54550.24759210,65808.82460696,82684.94632976,94935.88684586,0.19464432,0.28198991,0.78200000,1.00000000,1.00000000
130363,progressive-6,10,4000,24998.19197137,35886.70573349,44825.59547404,53563.71838666,64637.32868515,81122.36640202,93105.41509430,0.19635717,0.28635478,0.78200000,1.00000000,1.00000000
130363,progressive-12,10,4000,24463.77908372,35095.37121947,43796.59990782,52416.39872706,63197.20444910,79365.94825708,91195.14373597,0.19856051,0.29114886,0.78275000,1.00000000,1.00000000
130363,delayed-12,10,4000,23428.01122319,33468.24369654,41655.41278815,49867.71970309,60110.73373513,75470.43925581,86957.58290942,0.20917690,0.31192843,0.78450000,1.00000000,1.00000000
130363,no-restart,10,4000,8748.06448562,13890.34802820,18622.51084063,25052.21604061,33403.29916171,44716.12341039,53660.55180728,0.28991333,0.45706167,0.79350000,1.00000000,0.94550000
155921,immediate,10,4000,25302.48037184,36346.58393160,45416.05691029,54377.32707363,65597.60173759,82371.73159445,94677.72005992,0.19367191,0.28086437,0.77900000,1.00000000,1.00000000
155921,progressive-6,10,4000,24868.66714731,35755.61953889,44690.00595673,53399.34404943,64424.46302317,80824.34041549,92896.35957906,0.19551479,0.28529078,0.77800000,1.00000000,1.00000000
155921,progressive-12,10,4000,24339.71273931,34968.31850644,43663.62387213,52256.34521172,62990.98465012,79073.35429131,90918.07315327,0.19769313,0.29008512,0.77975000,1.00000000,1.00000000
155921,delayed-12,10,4000,23315.60314855,33350.15547587,41531.34060093,49716.06052164,59909.45491517,75192.95829213,86694.17987749,0.20832551,0.31089276,0.78025000,1.00000000,1.00000000
155921,no-restart,10,4000,8649.46212817,13788.53556071,18486.90276422,24881.41506553,33176.87778786,44444.86069816,53399.78341160,0.28920901,0.45610418,0.78950000,1.00000000,0.94375000
181081,immediate,10,4000,25453.33059249,36551.95387883,45640.67162670,54626.01047455,65892.81574188,82758.92978276,95119.15782952,0.19462646,0.28193069,0.78325000,1.00000000,1.00000000
181081,progressive-6,10,4000,25019.60329510,35955.12516388,44903.74333679,53639.04301637,64718.72469502,81211.54513852,93302.99033628,0.19638398,0.28634548,0.78325000,1.00000000,1.00000000
181081,progressive-12,10,4000,24486.39053688,35162.18780705,43873.07277164,52491.52173532,63284.79730010,79459.61757108,91394.87453522,0.19857478,0.29114042,0.78400000,1.00000000,1.00000000
181081,delayed-12,10,4000,23454.38262094,33531.14542532,41720.93529260,49940.49590949,60198.51444629,75555.45033891,87158.29146547,0.20921412,0.31193536,0.78525000,1.00000000,1.00000000
181081,no-restart,10,4000,8773.79475409,13943.19929491,18686.39201260,25130.56158761,33489.32095049,44799.56151482,53864.02915930,0.28993831,0.45706851,0.79600000,1.00000000,0.94800000
206369,immediate,10,4000,25443.07548131,36522.66746843,45610.98885816,54591.40115921,65864.24742290,82726.59226894,94994.44691752,0.19462503,0.28191084,0.78300000,1.00000000,1.00000000
206369,progressive-6,10,4000,25008.34351239,35927.62561278,44873.31501523,53603.22044976,64687.76730047,81182.65716679,93178.66004159,0.19637894,0.28632986,0.78375000,1.00000000,1.00000000
206369,progressive-12,10,4000,24474.36562003,35134.33776861,43842.13654806,52454.99107284,63251.12479271,79429.06287782,91269.17348315,0.19856809,0.29112477,0.78425000,1.00000000,1.00000000
206369,delayed-12,10,4000,23443.37078563,33506.53453215,41689.17756437,49903.57596826,60165.82972582,75524.44251975,87029.27801965,0.20919703,0.31191931,0.78575000,1.00000000,1.00000000
206369,no-restart,10,4000,8760.89618798,13919.65444702,18653.23584560,25085.51405627,33456.37530386,44768.07473088,53733.67525153,0.28992380,0.45705095,0.79500000,1.00000000,0.94500000
104729,immediate,20,4000,44503.49171784,71624.25035430,93352.02763763,124054.05486432,164925.25053689,228142.65641640,276188.27193320,0.27081584,0.38300762,0.86150000,1.00000000,1.00000000
104729,progressive-6,20,4000,44045.86246338,70957.27386138,92452.95422958,122709.62099778,163056.33950315,225062.69242557,272421.75105009,0.27125289,0.38219391,0.86050000,1.00000000,1.00000000
104729,progressive-12,20,4000,43468.92863323,70142.23600854,91373.29151004,121090.04866487,160823.26021477,221887.21289777,268419.20426557,0.27180496,0.38163311,0.85975000,1.00000000,1.00000000
104729,delayed-12,20,4000,42257.80731514,68248.01274540,88846.67346150,117643.11627939,156031.49394159,214555.19009111,259709.33153867,0.27557052,0.38387663,0.85725000,1.00000000,1.00000000
104729,no-restart,20,4000,8780.94336111,15656.58089838,23257.02896913,35831.25345583,55229.83445946,85092.94640943,111451.74117988,0.38340019,0.56609031,0.87075000,1.00000000,0.98050000
130363,immediate,20,4000,44388.08095087,71420.76357515,93122.53885498,123705.15751857,164510.43336141,227497.58181712,275343.02616977,0.27079860,0.38299195,0.86050000,1.00000000,1.00000000
130363,progressive-6,20,4000,43932.19707133,70757.52860375,92228.09997414,122364.36026134,162645.62559619,224425.11811422,271590.75491785,0.27124161,0.38218177,0.85950000,1.00000000,1.00000000
130363,progressive-12,20,4000,43360.33603641,69947.57711521,91151.17131210,120748.84781495,160416.73139550,221258.03488956,267600.64483331,0.27179998,0.38162072,0.85850000,1.00000000,1.00000000
130363,delayed-12,20,4000,42160.28673871,68067.71351486,88642.04455856,117328.18888995,155664.96961537,213972.73624557,258949.83933676,0.27558431,0.38386270,0.85675000,1.00000000,1.00000000
130363,no-restart,20,4000,8745.87033147,15583.03820244,23157.98054541,35676.47140283,55001.58845953,84725.43100473,110991.25496039,0.38339885,0.56607775,0.87000000,1.00000000,0.98050000
155921,immediate,20,4000,44118.25245559,70995.84111731,92578.82361423,122994.40335691,163525.08217742,226165.89273770,273669.31535566,0.27079357,0.38294824,0.85825000,1.00000000,1.00000000
155921,progressive-6,20,4000,43667.01214972,70337.38257792,91687.16228491,121663.56396631,161670.64230121,223111.97982825,269953.08392389,0.27123175,0.38213794,0.85725000,1.00000000,1.00000000
155921,progressive-12,20,4000,43100.19515214,69533.20489598,90614.55261618,120058.81996288,159451.20329040,219961.61960786,266001.78272688,0.27178385,0.38157706,0.85675000,1.00000000,1.00000000
155921,delayed-12,20,4000,41910.55412522,67666.53736970,88123.10102812,116646.52897105,154678.23072974,212752.76004203,257396.13440421,0.27557206,0.38381942,0.85375000,1.00000000,1.00000000
155921,no-restart,20,4000,8667.44663960,15378.16218411,22867.25824933,35250.90634407,54349.25304233,83685.86206241,109616.11208114,0.38338249,0.56604073,0.86800000,1.00000000,0.97900000
181081,immediate,20,4000,44518.85111855,71638.07141204,93345.05676962,124032.92903948,164872.89625294,228025.09796411,276129.87444074,0.27081052,0.38299376,0.86125000,1.00000000,1.00000000
181081,progressive-6,20,4000,44060.33347425,70972.20836208,92444.37005949,122687.57020141,163003.13222296,224946.01930661,272363.76663691,0.27125389,0.38218425,0.86000000,1.00000000,1.00000000
181081,progressive-12,20,4000,43481.60279408,70158.43797328,91363.31796460,121067.33769779,160769.73197112,221767.67498085,268362.44084534,0.27181288,0.38162632,0.85900000,1.00000000,1.00000000
181081,delayed-12,20,4000,42266.16287439,68267.96819538,88829.18636432,117619.97631472,155976.66250645,214436.60980693,259650.76590589,0.27560166,0.38386988,0.85625000,1.00000000,1.00000000
181081,no-restart,20,4000,8783.84672068,15662.51171136,23254.31627661,35822.07765643,55217.99879804,85046.97829775,111420.25669051,0.38341574,0.56608380,0.87050000,1.00000000,0.98300000
