scenario,years,seed,paths,annual_volatility,final_p10,final_median,final_p90,drawdown_median,drawdown_p90,probability_above_contributions
two-stocks,5,104729,1500,0.20539596,20556.57,31016.93,48691.81,0.198776,0.300255,0.624000
two-stocks,5,130363,1500,0.20539596,20878.56,31807.36,48415.27,0.196431,0.297205,0.640000
two-stocks,5,155921,1500,0.20539596,20932.15,31002.72,48533.48,0.197562,0.300727,0.622667
two-stocks,5,181081,1500,0.20539596,20939.09,31019.70,47304.31,0.200422,0.305408,0.621333
two-stocks,5,206369,1500,0.20539596,20908.98,31247.99,48704.55,0.198025,0.303270,0.622000
two-stocks,10,104729,1500,0.20539596,33529.66,56888.70,103005.33,0.282133,0.404489,0.674667
two-stocks,10,130363,1500,0.20539596,33101.24,56010.31,104310.67,0.285228,0.414989,0.671333
two-stocks,10,155921,1500,0.20539596,32328.82,55655.11,105903.67,0.285643,0.410427,0.677333
two-stocks,10,181081,1500,0.20539596,32491.10,55541.02,99914.25,0.286871,0.414004,0.660000
two-stocks,10,206369,1500,0.20539596,33164.42,56650.96,102364.58,0.285767,0.412347,0.688000
two-stocks,20,104729,1500,0.20539596,58681.26,119257.56,279295.57,0.401307,0.547274,0.750667
two-stocks,20,130363,1500,0.20539596,57488.28,123033.90,287425.95,0.396681,0.546704,0.752667
two-stocks,20,155921,1500,0.20539596,56247.35,118468.22,267232.63,0.403698,0.536259,0.730667
two-stocks,20,181081,1500,0.20539596,55803.91,115915.01,266722.16,0.399435,0.540956,0.730667
two-stocks,20,206369,1500,0.20539596,58316.07,124156.89,273438.44,0.395619,0.537838,0.761333
two-stocks,30,104729,1500,0.20539596,88189.65,217925.07,588635.75,0.475129,0.632576,0.796667
two-stocks,30,130363,1500,0.20539596,81169.75,202479.09,602689.67,0.479697,0.633744,0.774000
two-stocks,30,155921,1500,0.20539596,84378.59,201713.41,573477.24,0.476989,0.630242,0.777333
two-stocks,30,181081,1500,0.20539596,81989.98,204852.89,551717.61,0.477243,0.633995,0.774000
two-stocks,30,206369,1500,0.20539596,85495.64,216131.85,566785.94,0.475395,0.633548,0.808667
five-stocks,5,104729,1500,0.16583124,22641.52,31740.60,45692.53,0.146142,0.223969,0.682667
five-stocks,5,130363,1500,0.16583124,22988.06,32398.11,45436.31,0.143605,0.222020,0.700667
five-stocks,5,155921,1500,0.16583124,22922.89,31688.24,45509.74,0.142592,0.224024,0.684000
five-stocks,5,181081,1500,0.16583124,23019.16,31725.39,44657.82,0.147432,0.230002,0.686000
five-stocks,5,206369,1500,0.16583124,22978.69,31959.11,45604.17,0.145104,0.226241,0.690000
five-stocks,10,104729,1500,0.16583124,38231.03,58982.40,95498.89,0.211307,0.316130,0.758000
five-stocks,10,130363,1500,0.16583124,37763.55,58373.65,96252.12,0.214754,0.317514,0.745333
five-stocks,10,155921,1500,0.16583124,37051.07,57903.78,97426.11,0.214830,0.316000,0.754667
five-stocks,10,181081,1500,0.16583124,37212.17,57839.62,93037.76,0.216516,0.317190,0.744000
five-stocks,10,206369,1500,0.16583124,37934.22,58737.25,94957.76,0.214526,0.316083,0.754000
five-stocks,20,104729,1500,0.16583124,71215.70,128761.16,256392.01,0.311741,0.435160,0.832000
five-stocks,20,130363,1500,0.16583124,69808.99,131531.28,262247.06,0.309025,0.435678,0.830667
five-stocks,20,155921,1500,0.16583124,68658.93,127719.07,247894.23,0.310960,0.424104,0.810000
five-stocks,20,181081,1500,0.16583124,68258.73,125618.26,248160.41,0.309545,0.430734,0.833333
five-stocks,20,206369,1500,0.16583124,71112.41,133023.41,251751.11,0.305666,0.429454,0.839333
five-stocks,30,104729,1500,0.16583124,113968.13,242130.18,544216.88,0.374650,0.517215,0.887333
five-stocks,30,130363,1500,0.16583124,105296.37,228047.69,552585.21,0.378157,0.520247,0.860000
five-stocks,30,155921,1500,0.16583124,110067.40,226924.40,533390.95,0.374447,0.511228,0.876000
five-stocks,30,181081,1500,0.16583124,105454.65,229822.42,517969.13,0.376584,0.517424,0.868000
five-stocks,30,206369,1500,0.16583124,111539.00,240850.17,529276.23,0.374515,0.514174,0.888667
eight-stocks,5,104729,1500,0.14657549,23734.26,32049.18,44234.18,0.120660,0.187795,0.725333
eight-stocks,5,130363,1500,0.14657549,24010.34,32638.41,44013.67,0.118823,0.185464,0.733333
eight-stocks,5,155921,1500,0.14657549,24025.31,31983.24,44053.13,0.117549,0.185851,0.719333
eight-stocks,5,181081,1500,0.14657549,24052.05,32016.92,43333.43,0.122409,0.191151,0.724667
eight-stocks,5,206369,1500,0.14657549,24008.14,32247.57,44120.24,0.120217,0.187145,0.735333
eight-stocks,10,104729,1500,0.14657549,40562.19,59798.18,91734.18,0.177113,0.267586,0.806000
eight-stocks,10,130363,1500,0.14657549,40268.27,59344.34,92315.41,0.180092,0.268956,0.786000
eight-stocks,10,155921,1500,0.14657549,39550.43,58938.70,93324.05,0.181225,0.271097,0.791333
eight-stocks,10,181081,1500,0.14657549,39787.95,58750.84,89472.09,0.182686,0.269232,0.785333
eight-stocks,10,206369,1500,0.14657549,40358.67,59702.52,91207.15,0.179687,0.270000,0.792000
eight-stocks,20,104729,1500,0.14657549,78003.02,132818.97,244253.00,0.264369,0.372334,0.875333
eight-stocks,20,130363,1500,0.14657549,76778.61,135342.21,249388.45,0.263439,0.377451,0.869333
eight-stocks,20,155921,1500,0.14657549,75317.71,131972.40,237588.24,0.266095,0.367584,0.858000
eight-stocks,20,181081,1500,0.14657549,75024.79,129978.37,236895.46,0.264006,0.378117,0.862667
eight-stocks,20,206369,1500,0.14657549,77816.62,136890.02,239569.03,0.259582,0.373902,0.876667
eight-stocks,30,104729,1500,0.14657549,128577.89,252847.97,518852.90,0.322636,0.448249,0.922667
eight-stocks,30,130363,1500,0.14657549,120302.36,240201.84,526220.07,0.322964,0.453749,0.906667
eight-stocks,30,155921,1500,0.14657549,124230.26,238875.37,509826.94,0.320574,0.446219,0.916000
eight-stocks,30,181081,1500,0.14657549,119267.18,241084.06,495882.35,0.324919,0.450999,0.903333
eight-stocks,30,206369,1500,0.14657549,127081.67,251548.06,506563.13,0.321522,0.449894,0.920000
twenty-stocks,5,104729,1500,0.13404757,24455.30,32224.37,43280.62,0.104921,0.164703,0.742667
twenty-stocks,5,130363,1500,0.13404757,24692.27,32773.06,43083.03,0.103053,0.162711,0.754000
twenty-stocks,5,155921,1500,0.13404757,24755.91,32165.08,43112.65,0.101481,0.161830,0.752000
twenty-stocks,5,181081,1500,0.13404757,24752.36,32192.67,42471.96,0.106102,0.167604,0.753333
twenty-stocks,5,206369,1500,0.13404757,24731.32,32417.22,43121.55,0.103713,0.162892,0.767333
twenty-stocks,10,104729,1500,0.13404757,42167.65,60310.83,89245.34,0.155652,0.236230,0.836667
twenty-stocks,10,130363,1500,0.13404757,41947.92,59933.22,89707.39,0.157968,0.238186,0.817333
twenty-stocks,10,155921,1500,0.13404757,41319.14,59556.24,90602.30,0.158746,0.237442,0.824000
twenty-stocks,10,181081,1500,0.13404757,41499.42,59286.55,87237.40,0.160722,0.237405,0.813333
twenty-stocks,10,206369,1500,0.13404757,42048.27,60267.60,88585.10,0.156968,0.237356,0.818000
twenty-stocks,20,104729,1500,0.13404757,82979.89,135283.72,236389.54,0.234347,0.333814,0.907333
twenty-stocks,20,130363,1500,0.13404757,81721.99,137640.04,241014.37,0.233224,0.337750,0.898667
twenty-stocks,20,155921,1500,0.13404757,80096.20,134518.86,230359.66,0.234891,0.328059,0.889333
twenty-stocks,20,181081,1500,0.13404757,79856.97,132691.56,229505.48,0.234454,0.339493,0.886667
twenty-stocks,20,206369,1500,0.13404757,82876.81,139181.26,232256.84,0.230669,0.333912,0.902667
twenty-stocks,30,104729,1500,0.13404757,138934.61,258872.18,501286.18,0.288658,0.402692,0.950000
twenty-stocks,30,130363,1500,0.13404757,130463.89,247595.28,507870.69,0.288262,0.404667,0.930000
twenty-stocks,30,155921,1500,0.13404757,134222.57,245148.74,493199.58,0.286957,0.402677,0.933333
twenty-stocks,30,181081,1500,0.13404757,129505.95,248473.00,480501.49,0.290772,0.403490,0.930000
twenty-stocks,30,206369,1500,0.13404757,137608.80,258277.04,490111.66,0.286856,0.402281,0.943333
sector-eight,5,104729,1500,0.20822914,20418.51,30961.14,48907.95,0.202764,0.305369,0.620667
sector-eight,5,130363,1500,0.20822914,20742.52,31757.57,48620.68,0.199983,0.303531,0.638000
sector-eight,5,155921,1500,0.20822914,20787.92,30945.70,48749.37,0.201444,0.305761,0.622000
sector-eight,5,181081,1500,0.20822914,20793.78,30964.76,47490.21,0.204401,0.310565,0.615333
sector-eight,5,206369,1500,0.20822914,20759.61,31191.44,48929.95,0.201971,0.308000,0.620000
sector-eight,10,104729,1500,0.20822914,33212.30,56724.01,103544.00,0.287572,0.409745,0.671333
sector-eight,10,130363,1500,0.20822914,32768.85,55826.73,104894.07,0.289937,0.421574,0.668667
sector-eight,10,155921,1500,0.20822914,32009.44,55473.89,106503.25,0.290691,0.416955,0.672000
sector-eight,10,181081,1500,0.20822914,32171.99,55348.47,100380.36,0.292305,0.419564,0.658000
sector-eight,10,206369,1500,0.20822914,32879.50,56499.77,102894.91,0.291048,0.418789,0.684667
sector-eight,20,104729,1500,0.20822914,57830.88,118544.96,280826.00,0.407321,0.553987,0.743333
sector-eight,20,130363,1500,0.20822914,56760.15,122351.65,289051.59,0.402728,0.553778,0.749333
sector-eight,20,155921,1500,0.20822914,55395.00,117773.03,268575.74,0.409911,0.543714,0.725333
sector-eight,20,181081,1500,0.20822914,55036.05,115177.04,267878.80,0.405727,0.547958,0.724000
sector-eight,20,206369,1500,0.20822914,57486.84,123432.85,274719.06,0.401864,0.545329,0.755333
sector-eight,30,104729,1500,0.20822914,86560.72,215900.30,592318.30,0.483411,0.639221,0.787333
sector-eight,30,130363,1500,0.20822914,79790.71,200448.78,605285.99,0.486416,0.641420,0.764667
sector-eight,30,155921,1500,0.20822914,82851.09,200387.01,575862.05,0.483609,0.636121,0.768667
sector-eight,30,181081,1500,0.20822914,80482.50,203076.58,553635.76,0.484301,0.642845,0.765333
sector-eight,30,206369,1500,0.20822914,84074.63,214169.75,569223.69,0.481884,0.640628,0.800667
broad-etf-proxy,5,104729,1500,0.12686114,24892.96,32318.89,42730.12,0.095851,0.151113,0.753333
broad-etf-proxy,5,130363,1500,0.12686114,25105.45,32840.67,42546.75,0.094001,0.148999,0.772667
broad-etf-proxy,5,155921,1500,0.12686114,25159.75,32266.12,42572.44,0.092720,0.147788,0.763333
broad-etf-proxy,5,181081,1500,0.12686114,25161.34,32285.45,41974.99,0.096928,0.153479,0.764000
broad-etf-proxy,5,206369,1500,0.12686114,25135.00,32508.40,42565.70,0.095109,0.149654,0.782667
broad-etf-proxy,10,104729,1500,0.12686114,43142.62,60580.41,87751.68,0.143339,0.219459,0.848000
broad-etf-proxy,10,130363,1500,0.12686114,42918.48,60222.81,88209.56,0.145301,0.219180,0.836000
broad-etf-proxy,10,155921,1500,0.12686114,42297.74,59869.71,89042.25,0.146149,0.218999,0.838000
broad-etf-proxy,10,181081,1500,0.12686114,42471.17,59602.90,85942.80,0.147913,0.220580,0.832667
broad-etf-proxy,10,206369,1500,0.12686114,43052.93,60574.13,87115.84,0.144482,0.219342,0.839333
broad-etf-proxy,20,104729,1500,0.12686114,85830.70,136592.78,231803.73,0.218220,0.310814,0.927333
broad-etf-proxy,20,130363,1500,0.12686114,84512.89,138770.63,236130.79,0.215524,0.314443,0.913333
broad-etf-proxy,20,155921,1500,0.12686114,83031.96,135909.26,226113.93,0.217398,0.306385,0.908000
broad-etf-proxy,20,181081,1500,0.12686114,82663.43,134076.89,225433.71,0.217325,0.314911,0.904667
