behavior,reserve_months,line_count,asset_volatility,years,replications,paths,median_final,p10,p90,drawdown_median,forced_withdrawal_median
interruption,0,5,0.12000000,5,5,1500,24596.93325247,20705.58875174,30133.38276760,0.17509673,3600.00000000
interruption,0,5,0.12000000,10,5,1500,51643.22337661,41570.60923115,63424.48894069,0.17330700,3600.00000000
interruption,0,5,0.12000000,20,5,1500,126707.18159698,93318.12410895,177687.63622950,0.17435670,3600.00000000
interruption,0,5,0.12000000,30,5,1500,245160.78094873,168835.80278193,371808.16298004,0.18593985,3600.00000000
interruption,0,5,0.20000000,5,5,1500,24212.75681514,17730.26369388,33118.17035619,0.21396370,3600.00000000
interruption,0,5,0.20000000,10,5,1500,49411.01778949,35264.43773789,74491.01634625,0.23186063,3600.00000000
interruption,0,5,0.20000000,20,5,1500,118848.18677007,72541.87060478,202706.71930179,0.27175873,3600.00000000
interruption,0,5,0.20000000,30,5,1500,225909.73456740,125367.17640440,426323.37695755,0.31299808,3600.00000000
interruption,0,15,0.12000000,5,5,1500,24908.77486497,20894.98970861,29596.71479996,0.16709221,3600.00000000
interruption,0,15,0.12000000,10,5,1500,51656.90180804,42274.10549057,62994.69485440,0.16538151,3600.00000000
interruption,0,15,0.12000000,20,5,1500,126424.18159404,94989.92130008,173000.98054914,0.16912182,3600.00000000
interruption,0,15,0.12000000,30,5,1500,247375.42685652,175816.07149549,360556.75996110,0.17728455,3600.00000000
interruption,0,15,0.20000000,5,5,1500,24378.03606570,18567.65999925,32145.13092067,0.20083768,3600.00000000
interruption,0,15,0.20000000,10,5,1500,50879.63314166,36643.72065973,70103.99659398,0.21765305,3600.00000000
interruption,0,15,0.20000000,20,5,1500,121658.55846240,76422.15721147,201313.48370958,0.25138451,3600.00000000
interruption,0,15,0.20000000,30,5,1500,222978.56319151,127769.81023056,436217.94877077,0.27866386,3600.00000000
interruption,6,5,0.12000000,5,5,1500,26828.72161069,22589.96224935,32517.68490785,0.10884380,1800.00000000
interruption,6,5,0.12000000,10,5,1500,54227.69720277,43923.05453125,67891.66899518,0.11626298,1800.00000000
interruption,6,5,0.12000000,20,5,1500,130279.63035194,97087.80587868,185944.27355752,0.13587441,1800.00000000
interruption,6,5,0.12000000,30,5,1500,258227.45890960,173898.61959894,385091.06010301,0.15705732,1800.00000000
interruption,6,5,0.20000000,5,5,1500,26205.34260332,19584.85928611,36184.30525909,0.16001949,1800.00000000
interruption,6,5,0.20000000,10,5,1500,51976.25808527,36311.21942963,77094.41770798,0.19365220,1800.00000000
interruption,6,5,0.20000000,20,5,1500,123497.19672035,76352.06161709,213476.89726783,0.25724444,1800.00000000
interruption,6,5,0.20000000,30,5,1500,225056.16786740,127406.94483878,453351.25133034,0.30028310,1800.00000000
interruption,6,15,0.12000000,5,5,1500,26544.89187909,22789.99757671,31757.59411264,0.10196003,1800.00000000
interruption,6,15,0.12000000,10,5,1500,53601.47656771,44195.93336668,66660.78469903,0.10637910,1800.00000000
interruption,6,15,0.12000000,20,5,1500,132622.38762491,100880.57971932,181057.36145664,0.11878336,1800.00000000
interruption,6,15,0.12000000,30,5,1500,258613.77421638,175746.87038838,376033.67863765,0.14023204,1800.00000000
interruption,6,15,0.20000000,5,5,1500,26050.08452387,19888.03134364,34302.29546359,0.15288073,1800.00000000
interruption,6,15,0.20000000,10,5,1500,52803.10137424,37819.94848119,74754.16449721,0.17488942,1800.00000000
interruption,6,15,0.20000000,20,5,1500,124746.63453400,80663.16325921,209696.62717881,0.22226699,1800.00000000
interruption,6,15,0.20000000,30,5,1500,234667.83364615,130886.07212188,435472.32666133,0.26857806,1800.00000000
regular,0,5,0.12000000,5,5,1500,32900.64259201,27956.76531314,38903.89419608,0.04478923,0.00000000
