factor,level,finalMedian,drawdownMedian,forcedWithdrawalMedian,recoveryMonthsMedian
behavior,regular,134265.865838,0.20647737,1800.00,11.50
behavior,interruption,118710.833361,0.30093021,5400.00,33.00
reserveMonths,0,124678.419055,0.28739995,4500.00,27.00
reserveMonths,6,128028.391331,0.24976483,2700.00,20.50
lineCount,5,125045.039700,0.27338312,3600.00,24.00
lineCount,15,126726.930309,0.26079910,3600.00,24.00
assetVolatility,0.12,129905.100144,0.20497479,3600.00,24.00
assetVolatility,0.2,122155.994154,0.30327725,3600.00,24.00
correlation,0.1,130248.761958,0.19800620,3600.00,24.00
correlation,0.35,126553.647978,0.26265664,3600.00,24.00
correlation,0.75,120680.351957,0.33303458,3600.00,24.00
shockIntensity,0,131407.729862,0.17041596,900.00,240.00
shockIntensity,1800,127549.345164,0.21373258,2700.00,4.00
shockIntensity,3600,124153.841420,0.26465377,4500.00,16.00
shockIntensity,7200,116013.691983,0.45379108,8100.00,27.50
years,10,51949.330592,0.23696686,3600.00,24.00
years,20,125966.761656,0.26583669,3600.00,24.00
years,30,241069.694335,0.28156353,3600.00,24.00
