lineCount,years,seed,paths,finalP10,finalMedian,finalP90,drawdownMedian,drawdownP90
2,5,104729,1500,22273.81,32031.63,46006.87,0.158057,0.245061
2,5,130363,1500,22421.43,31947.15,45508.15,0.155598,0.240707
2,5,155921,1500,22562.38,31873.63,45775.64,0.154846,0.239386
2,5,181081,1500,22270.88,32063.71,46307.74,0.156373,0.241843
2,5,206369,1500,22441.75,31899.89,45964.79,0.153908,0.239382
2,10,104729,1500,36601.23,58672.11,95962.53,0.227691,0.339312
2,10,130363,1500,36484.28,58732.79,94560.22,0.228046,0.338956
2,10,155921,1500,36170.66,58905.43,95349.21,0.229188,0.341178
2,10,181081,1500,36697.17,58621.34,96388.77,0.226916,0.337679
2,10,206369,1500,36512.13,58791.45,95486.83,0.229074,0.339933
2,20,104729,1500,66198.66,132869.61,254451.69,0.327142,0.460366
2,20,130363,1500,66059.48,132524.17,252998.14,0.326499,0.459725
2,20,155921,1500,65488.11,133042.70,255976.28,0.328458,0.462025
2,20,181081,1500,66403.83,132740.10,253981.75,0.326906,0.459844
2,20,206369,1500,65912.37,133156.37,254135.22,0.327989,0.461077
2,30,104729,1500,105320.22,242734.75,545358.01,0.397033,0.547060
2,30,130363,1500,104888.61,242155.66,539604.52,0.395744,0.545381
2,30,155921,1500,106044.19,243027.13,548829.66,0.398528,0.548817
2,30,181081,1500,105772.84,242536.27,543916.18,0.396864,0.546629
2,30,206369,1500,104997.35,243194.43,544778.97,0.397842,0.547735
3,5,104729,1500,23536.61,31872.03,44602.49,0.131628,0.205597
3,5,130363,1500,23388.45,31981.37,44414.93,0.130911,0.204243
3,5,155921,1500,23611.28,31820.75,44816.17,0.132107,0.206174
3,5,181081,1500,23493.76,31924.90,44588.32,0.131472,0.205311
3,5,206369,1500,23572.43,31854.28,44703.88,0.131781,0.205814
3,10,104729,1500,38913.44,58574.33,91377.62,0.197219,0.297798
3,10,130363,1500,38794.86,58466.45,90966.31,0.196742,0.296581
3,10,155921,1500,39104.72,58639.18,91608.79,0.198046,0.298537
3,10,181081,1500,38856.13,58511.07,91211.45,0.197033,0.297192
3,10,206369,1500,38966.75,58608.91,91422.83,0.197664,0.298105
3,20,104729,1500,72712.38,132695.16,243266.98,0.286198,0.405617
3,20,130363,1500,72488.19,132421.57,241948.33,0.284977,0.403880
3,20,155921,1500,73104.55,132883.72,244116.27,0.287109,0.406821
3,20,181081,1500,72635.74,132579.88,242704.51,0.285761,0.405107
3,20,206369,1500,72884.91,132812.44,243512.09,0.286532,0.406043
3,30,104729,1500,118589.31,244823.87,519229.82,0.347359,0.480803
3,30,130363,1500,118227.45,244211.33,515688.21,0.346074,0.479211
3,30,155921,1500,119014.82,245136.79,522404.55,0.348608,0.482176
3,30,181081,1500,118744.66,244617.51,518337.42,0.347024,0.480224
3,30,206369,1500,118412.73,245001.25,520116.78,0.347791,0.481092
4,5,104729,1500,24177.34,31902.75,43807.12,0.118945,0.186694
4,5,130363,1500,24065.27,31977.48,43628.77,0.118242,0.185510
4,5,155921,1500,24244.86,31851.36,44011.03,0.119411,0.187384
4,5,181081,1500,24139.92,31936.89,43765.45,0.118713,0.186203
4,5,206369,1500,24211.58,31879.17,43892.64,0.119087,0.186831
4,10,104729,1500,40411.08,58467.12,88797.33,0.181024,0.272693
4,10,130363,1500,40295.56,58371.49,88408.16,0.180233,0.271469
4,10,155921,1500,40582.73,58533.64,89022.57,0.181635,0.273317
4,10,181081,1500,40352.14,58413.06,88639.12,0.180702,0.272087
4,10,206369,1500,40459.88,58505.77,88841.49,0.181241,0.272854
4,20,104729,1500,75742.18,133191.44,235458.37,0.264095,0.374965
4,20,130363,1500,75528.61,132938.51,234221.09,0.262974,0.373351
4,20,155921,1500,76119.44,133362.88,236282.45,0.264986,0.376113
4,20,181081,1500,75673.25,133083.29,234916.72,0.263684,0.374471
4,20,206369,1500,75911.17,133297.66,235694.04,0.264432,0.375237
4,30,104729,1500,122237.89,245037.12,503654.74,0.321195,0.447130
4,30,130363,1500,121896.63,244469.81,500368.92,0.319987,0.445642
4,30,155921,1500,122633.42,245302.77,506619.18,0.322311,0.448379
4,30,181081,1500,122380.64,244844.95,502844.33,0.320879,0.446518
4,30,206369,1500,122071.18,245188.34,504516.09,0.321583,0.447421
5,5,104729,1500,24668.23,31984.06,43150.82,0.110432,0.174483
5,5,130363,1500,24566.51,32052.72,42983.64,0.109766,0.173401
5,5,155921,1500,24731.47,31937.15,43340.21,0.110851,0.175116
5,5,181081,1500,24633.88,32015.43,43111.72,0.110211,0.174039
5,5,206369,1500,24701.02,31962.84,43230.45,0.110559,0.174612
