scenarioId,years,paths,replications,p10Median,p50Median,p90Median,drawdownMedian,drawdownP90,endingLargestWeightMedian,probabilityAboveContributions
equal-quarterly-medium-correlation,5,3750,5,24015.738776,32117.297407,43572.082914,0.117195651,0.179106705,0.125,0.718666667
equal-quarterly-medium-correlation,10,3750,5,40592.351637,58967.298338,88731.530661,0.17648922,0.25886573,0.125,0.778666667
equal-quarterly-medium-correlation,20,3750,5,79081.949498,132566.49884,235593.741837,0.260460006,0.370497885,0.125,0.876
equal-quarterly-medium-correlation,30,3750,5,122854.275832,245755.219533,502206.42995,0.315908885,0.435883897,0.125,0.913333333
equal-no-rebalance-medium-correlation,5,3750,5,23869.152752,32264.092979,43634.14536,0.118156805,0.181407481,0.178714513,0.708
equal-no-rebalance-medium-correlation,10,3750,5,40568.358917,58238.692057,90535.371223,0.177908841,0.26237043,0.198711934,0.778666667
equal-no-rebalance-medium-correlation,20,3750,5,77892.474852,131463.946329,239106.509076,0.265255817,0.377167705,0.232871428,0.865333333
equal-no-rebalance-medium-correlation,30,3750,5,121405.921482,241153.933948,509271.6844,0.329137129,0.446165337,0.263280574,0.912
concentrated-quarterly-medium-correlation,5,3750,5,23419.381312,32057.204439,44905.706329,0.127849409,0.198058927,0.4,0.689333333
concentrated-quarterly-medium-correlation,10,3750,5,39199.230565,58758.944722,90207.841179,0.188885915,0.283571229,0.4,0.772
concentrated-quarterly-medium-correlation,20,3750,5,74750.123928,131527.564635,244815.488566,0.281584177,0.397065211,0.4,0.856
concentrated-quarterly-medium-correlation,30,3750,5,119413.879677,240126.951095,512559.785408,0.342972434,0.471368461,0.4,0.906666667
concentrated-no-rebalance-medium-correlation,5,3750,5,23456.354179,31893.242715,44669.73514,0.12724151,0.200377187,0.38966206,0.694666667
concentrated-no-rebalance-medium-correlation,10,3750,5,39028.330491,58651.309674,89857.54506,0.192837218,0.285179032,0.378940324,0.766666667
concentrated-no-rebalance-medium-correlation,20,3750,5,74483.472867,130553.921526,243067.752014,0.283127843,0.396299309,0.367323842,0.852
concentrated-no-rebalance-medium-correlation,30,3750,5,119969.951389,234478.860542,508864.468855,0.345898254,0.482200544,0.368326105,0.904
equal-quarterly-low-correlation,5,3750,5,26585.147739,32934.231021,40611.035483,0.064290045,0.101365733,0.125,0.829333333
equal-quarterly-low-correlation,10,3750,5,45985.224666,60944.922746,81040.64318,0.10137787,0.153152607,0.125,0.898666667
equal-quarterly-low-correlation,20,3750,5,97012.68198,142029.873127,214235.681346,0.158101437,0.231643579,0.125,0.969333333
equal-quarterly-low-correlation,30,3750,5,163519.064349,269968.499618,442757.367438,0.196341421,0.279829444,0.125,0.986666667
equal-quarterly-high-correlation,5,3750,5,21291.38055,31278.970179,47697.937021,0.184096853,0.274157572,0.125,0.636
equal-quarterly-high-correlation,10,3750,5,34570.110062,55538.384427,97178.881872,0.264650392,0.377981912,0.125,0.686666667
equal-quarterly-high-correlation,20,3750,5,60946.170534,120094.046939,254267.24444,0.375975032,0.519110068,0.125,0.753333333
equal-quarterly-high-correlation,30,3750,5,89174.262441,211447.248361,567023.638506,0.451632988,0.596733335,0.125,0.812
